Area,Item,Year,Yield,avg_temp,Pesticides,avg_precipitation,group,yield_normalized
Angola,Cassava,1990,41177,24.12,64.0,1010,0,0.08770186441364691
Angola,Cassava,1991,40295,24.02,79.0,1010,0,0.08582103079065384
Angola,Cassava,1992,42295,23.96,23.0,1010,0,0.09008595964097829
Angola,Cassava,1993,42295,24.15,169.0,1010,0,0.09008595964097829
Angola,Cassava,1994,58596,24.04,25.5,1010,0,0.12484726223554776
Angola,Cassava,1995,51000,24.56,336.0,1010,0,0.10864906246201547
Angola,Cassava,1996,48077,24.11,40.0,1010,0,0.10241586894726629
Angola,Cassava,1997,44205,24.06,40.0,1010,0,0.09415896669303814
Angola,Cassava,1998,55728,24.96,40.0,1010,0,0.11873135426418249
Angola,Cassava,1999,59821,24.37,40.0,1010,0,0.12745953115637149
Angola,Cassava,2000,82992,24.41,40.0,1010,0,0.17687086435180546
Angola,Cassava,2001,94072,24.43,40.0,1010,0,0.20049857018260292
Angola,Cassava,2002,110071,24.79,40.0,1010,0,0.2346158685207734
Angola,Cassava,2004,125605,24.22,40.0,1010,0,0.26774157090124345
Angola,Cassava,2005,117628,24.41,40.0,1010,0,0.25073090218172434
Angola,Cassava,2006,117201,24.14,40.0,1010,0,0.24982033987218008
Angola,Cassava,2007,115387,24.24,40.0,1010,0,0.2459520494049358
Angola,Cassava,2008,148084,24.27,40.0,1010,0,0.3156772387144651
Angola,Cassava,2009,151759,24.33,40.0,1010,0,0.32351404547693635
Angola,Cassava,2010,155782,24.44,40.0,1010,0,0.332092949859364
Angola,Cassava,2011,133649,24.15,40.0,1010,0,0.2848951147372484
Angola,Cassava,2012,100073,24.24,40.0,1010,0,0.21329548919800145
Angola,Cassava,2013,140517,24.55,40.0,1010,0,0.2995408804092626
Angola,Maize,1990,2736,24.12,64.0,1010,0,0.005727799445985743
Angola,Maize,1991,4013,24.02,79.0,1010,0,0.008450956516917907
Angola,Maize,1992,3778,23.96,23.0,1010,0,0.007949827377004783
Angola,Maize,1993,2627,24.15,169.0,1010,0,0.0054953608236430595
Angola,Maize,1994,2463,24.04,25.5,1010,0,0.005145636657916454
Angola,Maize,1995,3517,24.56,336.0,1010,0,0.007393254162037442
Angola,Maize,1996,6993,24.11,40.0,1010,0,0.014805700503901344
Angola,Maize,1997,5959,24.06,40.0,1010,0,0.0126007322882836
Angola,Maize,1998,7396,24.96,40.0,1010,0,0.01566508366724172
Angola,Maize,1999,6361,24.37,40.0,1010,0,0.013457982987198816
Angola,Maize,2000,5745,24.41,40.0,1010,0,0.012144384901298884
Angola,Maize,2001,5754,24.43,40.0,1010,0,0.012163577081125344
Angola,Maize,2002,6706,24.79,40.0,1010,0,0.014193683213879784
Angola,Maize,2004,5404,24.22,40.0,1010,0,0.011417214532318564
Angola,Maize,2005,6736,24.41,40.0,1010,0,0.01425765714663465
Angola,Maize,2006,4687,24.14,40.0,1010,0,0.009888237539477247
Angola,Maize,2007,5091,24.24,40.0,1010,0,0.010749753167242788
Angola,Maize,2008,7946,24.27,40.0,1010,0,0.016837939101080945
Angola,Maize,2009,6614,24.33,40.0,1010,0,0.01399749648676486
Angola,Maize,2010,7200,24.44,40.0,1010,0,0.015247120639909925
Angola,Maize,2011,7376,24.15,40.0,1010,0,0.015622434378738477
Angola,Maize,2012,7770,24.24,40.0,1010,0,0.016462625362252393
Angola,Maize,2013,9467,24.55,40.0,1010,0,0.020081417491752695
Angola,Potatoes,1990,40000,24.12,64.0,1010,0,0.08519195378523098
Angola,Potatoes,1991,40000,24.02,79.0,1010,0,0.08519195378523098
Angola,Potatoes,1992,40000,23.96,23.0,1010,0,0.08519195378523098
Angola,Potatoes,1993,70000,24.15,169.0,1010,0,0.1491658865400978
Angola,Potatoes,1994,90000,24.04,25.5,1010,0,0.19181517504334233
Angola,Potatoes,1995,76738,24.56,336.0,1010,0,0.16353443183684088
Angola,Potatoes,1996,70000,24.11,40.0,1010,0,0.1491658865400978
Angola,Potatoes,1997,68571,24.06,40.0,1010,0,0.14611859487654097
Angola,Potatoes,1998,62724,24.96,40.0,1010,0,0.13365007538261742
Angola,Potatoes,1999,54597,24.37,40.0,1010,0,0.11631953699932401
Angola,Potatoes,2000,29885,24.41,40.0,1010,0,0.06362207612471504
Angola,Potatoes,2001,42552,24.43,40.0,1010,0,0.09063400299824498
Angola,Potatoes,2002,42754,24.79,40.0,1010,0,0.09106476081212775
Angola,Potatoes,2004,20150,24.22,40.0,1010,0,0.04286253494576077
Angola,Potatoes,2005,23646,24.41,40.0,1010,0,0.05031763057612791
Angola,Potatoes,2006,52148,24.14,40.0,1010,0,0.11109713162210172
Angola,Potatoes,2007,62138,24.24,40.0,1010,0,0.13240045122947236
Angola,Potatoes,2008,85085,24.27,40.0,1010,0,0.18133411239367
Angola,Potatoes,2009,86509,24.33,40.0,1010,0,0.184370741735101
Angola,Potatoes,2010,87425,24.44,40.0,1010,0,0.1863240791485496
Angola,Potatoes,2011,81366,24.15,40.0,1010,0,0.17340347719649166
Angola,Potatoes,2012,69381,24.24,40.0,1010,0,0.14784589106092239
Angola,Potatoes,2013,63303,24.55,40.0,1010,0,0.13488477228478635
Angola,"Rice, paddy",1990,9512,24.12,64.0,1010,0,0.020177378390884994
Angola,"Rice, paddy",1991,10000,24.02,79.0,1010,0,0.021218021030364163
Angola,"Rice, paddy",1992,9106,23.96,23.0,1010,0,0.01931159783426913
Angola,"Rice, paddy",1993,8000,24.15,169.0,1010,0,0.016953092180039705
Angola,"Rice, paddy",1994,8750,24.04,25.5,1010,0,0.018552440498911377
Angola,"Rice, paddy",1995,14615,24.56,336.0,1010,0,0.03105934435248784
Angola,"Rice, paddy",1996,17500,24.11,40.0,1010,0,0.037211504219080864
Angola,"Rice, paddy",1997,20000,24.06,40.0,1010,0,0.042542665281986435
Angola,"Rice, paddy",1998,20000,24.96,40.0,1010,0,0.042542665281986435
Angola,"Rice, paddy",1999,14235,24.37,40.0,1010,0,0.030249007870926194
Angola,"Rice, paddy",2000,13454,24.41,40.0,1010,0,0.028583553154874493
Angola,"Rice, paddy",2001,13701,24.43,40.0,1010,0,0.029110271867889562
Angola,"Rice, paddy",2002,13198,24.79,40.0,1010,0,0.028037642262032963
Angola,"Rice, paddy",2004,11584,24.22,40.0,1010,0,0.02459584467982113
Angola,"Rice, paddy",2005,6977,24.41,40.0,1010,0,0.014771581073098748
Angola,"Rice, paddy",2006,4947,24.14,40.0,1010,0,0.010442678290019427
Angola,"Rice, paddy",2007,5143,24.24,40.0,1010,0,0.010860641317351222
Angola,"Rice, paddy",2008,5084,24.27,40.0,1010,0,0.010734825916266651
Angola,"Rice, paddy",2009,6028,24.33,40.0,1010,0,0.012747872333619794
Angola,"Rice, paddy",2010,7403,24.44,40.0,1010,0,0.015680010918217857
Angola,"Rice, paddy",2011,8914,24.15,40.0,1010,0,0.018902164664637983
Angola,"Rice, paddy",2012,7703,24.24,40.0,1010,0,0.016319750245766526
Angola,"Rice, paddy",2013,12744,24.55,40.0,1010,0,0.027069503413009312
Angola,Sorghum,2000,3333,24.41,40.0,1010,0,0.007000880707807592
Angola,Sorghum,2001,3571,24.43,40.0,1010,0,0.007508407240996202
Angola,Sorghum,2002,3400,24.79,40.0,1010,0,0.0071437558242934615
Angola,Sorghum,2004,3333,24.22,40.0,1010,0,0.007000880707807592
Angola,Sorghum,2005,3333,24.41,40.0,1010,0,0.007000880707807592
Angola,Sorghum,2006,4091,24.14,40.0,1010,0,0.008617288742080561
Angola,Sorghum,2007,4031,24.24,40.0,1010,0,0.008489340876570826
Angola,Sorghum,2008,929,24.27,40.0,1010,0,0.0018744362297175977
Angola,Sorghum,2009,2480,24.33,40.0,1010,0,0.005181888553144212
Angola,Sorghum,2010,2814,24.44,40.0,1010,0,0.005894131671148396
Angola,Sorghum,2011,3320,24.15,40.0,1010,0,0.006973158670280483
Angola,Sorghum,2012,998,24.24,40.0,1010,0,0.0020215762750537916
Angola,Sorghum,2013,2415,24.55,40.0,1010,0,0.005043278365508668
Angola,Soybeans,2000,2333,24.41,40.0,1010,0,0.004868416282645365
Angola,Soybeans,2001,2500,24.43,40.0,1010,0,0.005224537841647457
Angola,Soybeans,2002,2857,24.79,40.0,1010,0,0.0059858276414303715
Angola,Soybeans,2004,3600,24.22,40.0,1010,0,0.007570248709325907
Angola,Soybeans,2005,3793,24.41,40.0,1010,0,0.007981814343382217
Angola,Soybeans,2006,4286,24.14,40.0,1010,0,0.009033119304987194
Angola,Soybeans,2007,6883,24.24,40.0,1010,0,0.014571129417133498
Angola,Soybeans,2008,8575,24.27,40.0,1010,0,0.01817925922450799
Angola,Soybeans,2009,4449,24.33,40.0,1010,0,0.009380711006288638
Angola,Soybeans,2010,4446,24.44,40.0,1010,0,0.009374313613013151
Angola,Soybeans,2011,5294,24.15,40.0,1010,0,0.01118264344555072
Angola,Soybeans,2012,1641,24.24,40.0,1010,0,0.0033927509004331034
Angola,Soybeans,2013,4405,24.55,40.0,1010,0,0.009286882571581499
Angola,Sweet potatoes,1990,89342,24.12,64.0,1010,0,0.1904120134515856
Angola,Sweet potatoes,1991,83001,24.02,79.0,1010,0,0.17689005653163192
Angola,Sweet potatoes,1992,90000,23.96,23.0,1010,0,0.19181517504334233
Angola,Sweet potatoes,1993,88095,24.15,169.0,1010,0,0.1877528303134083
Angola,Sweet potatoes,1994,83192,24.04,25.5,1010,0,0.1772973572368379
Angola,Sweet potatoes,1995,81138,24.56,336.0,1010,0,0.17291727530755469
Angola,Sweet potatoes,1996,85455,24.11,40.0,1010,0,0.18212312423098
Angola,Sweet potatoes,1997,78098,24.06,40.0,1010,0,0.1664345834550615
Angola,Sweet potatoes,1998,76256,24.96,40.0,1010,0,0.16250658398391268
Angola,Sweet potatoes,1999,82865,24.37,40.0,1010,0,0.17660004136980983
Angola,Sweet potatoes,2000,34938,24.41,40.0,1010,0,0.07439741886505978
Angola,Sweet potatoes,2001,44458,24.43,40.0,1010,0,0.09469848019260418
Angola,Sweet potatoes,2002,42190,24.79,40.0,1010,0,0.08986205087633625
Angola,Sweet potatoes,2004,45360,24.22,40.0,1010,0,0.09662196310410051
Angola,Sweet potatoes,2005,46159,24.41,40.0,1010,0,0.09832580217980513
Angola,Sweet potatoes,2006,44240,24.14,40.0,1010,0,0.09423360294791883
Angola,Sweet potatoes,2007,58855,24.24,40.0,1010,0,0.12539957052166478
Angola,Sweet potatoes,2008,65437,24.27,40.0,1010,0,0.13943545136808255
Angola,Sweet potatoes,2009,66475,24.33,40.0,1010,0,0.14164894944140094
Angola,Sweet potatoes,2010,63001,24.44,40.0,1010,0,0.13424076802838736
Angola,Sweet potatoes,2011,65512,24.15,40.0,1010,0,0.13959538619996972
Angola,Sweet potatoes,2012,52954,24.24,40.0,1010,0,0.11281589794878247
Angola,Sweet potatoes,2013,73409,24.55,40.0,1010,0,0.15643545776547582
Angola,Wheat,1990,7995,24.12,64.0,1010,0,0.016942429857913895
Angola,Wheat,1991,8000,24.02,79.0,1010,0,0.016953092180039705
Angola,Wheat,1992,8000,23.96,23.0,1010,0,0.016953092180039705
Angola,Wheat,1993,8876,24.15,169.0,1010,0,0.018821131016481817
Angola,Wheat,1994,10000,24.04,25.5,1010,0,0.021218021030364163
Angola,Wheat,1995,11855,24.56,336.0,1010,0,0.025173742539040093
Angola,Wheat,1996,13738,24.11,40.0,1010,0,0.029189173051620568
Angola,Wheat,1997,15509,24.06,40.0,1010,0,0.032965767548582874
Angola,Wheat,1998,17143,24.96,40.0,1010,0,0.03645021441929795
Angola,Wheat,1999,17391,24.37,40.0,1010,0,0.036979065596738185
Angola,Wheat,2000,17023,24.41,40.0,1010,0,0.036194318688278486
Angola,Wheat,2001,16667,24.43,40.0,1010,0,0.03543516135292073
Angola,Wheat,2002,15455,24.79,40.0,1010,0,0.03285061446962411
Angola,Wheat,2004,12442,24.22,40.0,1010,0,0.02642549915661032
Angola,Wheat,2005,10946,24.41,40.0,1010,0,0.02323533237656763
Angola,Wheat,2006,10000,24.14,40.0,1010,0,0.021218021030364163
Angola,Wheat,2007,10000,24.24,40.0,1010,0,0.021218021030364163
Angola,Wheat,2008,10000,24.27,40.0,1010,0,0.021218021030364163
Angola,Wheat,2009,10000,24.33,40.0,1010,0,0.021218021030364163
Angola,Wheat,2010,10526,24.44,40.0,1010,0,0.022339697317999493
Angola,Wheat,2011,10959,24.15,40.0,1010,0,0.023263054414094736
Angola,Wheat,2012,11258,24.24,40.0,1010,0,0.02390066127721824
Angola,Wheat,2013,9022,24.55,40.0,1010,0,0.0191324708225555
Argentina,Cassava,1990,100000,17.46,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1990,100000,17.67,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1991,100000,17.64,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1991,100000,17.86,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1992,100000,17.09,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1992,100000,17.51,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1993,100000,17.32,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1993,100000,17.53,26156.0,591,0,0.21313981929496462
Argentina,Cassava,1994,100000,18.17,30195.0,591,0,0.21313981929496462
Argentina,Cassava,1994,100000,18.31,30195.0,591,0,0.21313981929496462
Argentina,Cassava,1995,100000,17.74,37842.0,591,0,0.21313981929496462
Argentina,Cassava,1995,100000,17.62,37842.0,591,0,0.21313981929496462
Argentina,Cassava,1996,100000,17.64,54595.0,591,0,0.21313981929496462
Argentina,Cassava,1996,100000,17.97,54595.0,591,0,0.21313981929496462
Argentina,Cassava,1997,100000,18.29,77691.0,591,0,0.21313981929496462
Argentina,Cassava,1997,100000,18.54,77691.0,591,0,0.21313981929496462
Argentina,Cassava,1998,100000,17.23,62397.0,591,0,0.21313981929496462
Argentina,Cassava,1998,100000,17.52,62397.0,591,0,0.21313981929496462
Argentina,Cassava,1999,100000,17.15,62831.39,591,0,0.21313981929496462
Argentina,Cassava,1999,100000,17.71,62831.39,591,0,0.21313981929496462
Argentina,Cassava,2000,100000,16.98,63265.78,591,0,0.21313981929496462
Argentina,Cassava,2000,100000,17.66,63265.78,591,0,0.21313981929496462
Argentina,Cassava,2001,100000,17.71,63700.17,591,0,0.21313981929496462
Argentina,Cassava,2001,100000,18.42,63700.17,591,0,0.21313981929496462
Argentina,Cassava,2002,100000,17.58,64134.56,591,0,0.21313981929496462
Argentina,Cassava,2002,100000,18.07,64134.56,591,0,0.21313981929496462
Argentina,Cassava,2004,100000,17.67,65003.34,591,0,0.21313981929496462
Argentina,Cassava,2004,100000,18.11,65003.34,591,0,0.21313981929496462
Argentina,Cassava,2005,100000,17.32,65437.73,591,0,0.21313981929496462
Argentina,Cassava,2005,100000,17.83,65437.73,591,0,0.21313981929496462
Argentina,Cassava,2006,100000,18.1,65872.12,591,0,0.21313981929496462
Argentina,Cassava,2006,100000,18.35,65872.12,591,0,0.21313981929496462
Argentina,Cassava,2007,100000,16.71,81582.64,591,0,0.21313981929496462
Argentina,Cassava,2007,100000,17.14,81582.64,591,0,0.21313981929496462
Argentina,Cassava,2008,100000,17.71,87149.01,591,0,0.21313981929496462
Argentina,Cassava,2008,100000,18.39,87149.01,591,0,0.21313981929496462
Argentina,Cassava,2009,101695,18.16,61586.56,591,0,0.2167543464956146
Argentina,Cassava,2009,101695,18.09,61586.56,591,0,0.2167543464956146
Argentina,Cassava,2010,101000,17.33,105915.04,591,0,0.21527228372012683
Argentina,Cassava,2010,101000,17.84,105915.04,591,0,0.21527228372012683
Argentina,Cassava,2011,100000,17.58,100424.62,591,0,0.21313981929496462
Argentina,Cassava,2011,100000,17.93,100424.62,591,0,0.21313981929496462
Argentina,Cassava,2012,100000,18.18,136185.08,591,0,0.21313981929496462
Argentina,Cassava,2012,100000,18.43,136185.08,591,0,0.21313981929496462
Argentina,Cassava,2013,99459,16.45,171945.54,591,0,0.21198615604095183
Argentina,Cassava,2013,99459,16.88,171945.54,591,0,0.21198615604095183
Argentina,Maize,1990,34608,17.46,26156.0,591,0,0.07369370560475624
Argentina,Maize,1990,34608,17.67,26156.0,591,0,0.07369370560475624
Argentina,Maize,1991,40444,17.64,26156.0,591,0,0.086138767990003
Argentina,Maize,1991,40444,17.86,26156.0,591,0,0.086138767990003
Argentina,Maize,1992,45237,17.09,26156.0,591,0,0.09635966997980557
Argentina,Maize,1992,45237,17.51,26156.0,591,0,0.09635966997980557
Argentina,Maize,1993,43552,17.32,26156.0,591,0,0.0927664674234072
Argentina,Maize,1993,43552,17.53,26156.0,591,0,0.0927664674234072
Argentina,Maize,1994,42371,18.17,30195.0,591,0,0.09024802693729062
Argentina,Maize,1994,42371,18.31,30195.0,591,0,0.09024802693729062
Argentina,Maize,1995,45223,17.74,37842.0,591,0,0.09632981547785328
Argentina,Maize,1995,45223,17.62,37842.0,591,0,0.09632981547785328
Argentina,Maize,1996,40397,17.64,54595.0,591,0,0.08603854216202038
Argentina,Maize,1996,40397,17.97,54595.0,591,0,0.08603854216202038
Argentina,Maize,1997,45557,18.29,77691.0,591,0,0.09704205859585747
Argentina,Maize,1997,45557,18.54,77691.0,591,0,0.09704205859585747
Argentina,Maize,1998,60780,17.23,62397.0,591,0,0.12950456454010206
Argentina,Maize,1998,60780,17.52,62397.0,591,0,0.12950456454010206
Argentina,Maize,1999,53702,17.15,62831.39,591,0,0.11441098133880381
Argentina,Maize,1999,53702,17.71,62831.39,591,0,0.11441098133880381
Argentina,Maize,2000,54329,16.98,63265.78,591,0,0.11574803653338053
Argentina,Maize,2000,54329,17.66,63265.78,591,0,0.11574803653338053
Argentina,Maize,2001,54553,17.71,63700.17,591,0,0.11622570856461686
Argentina,Maize,2001,54553,18.42,63700.17,591,0,0.11622570856461686
Argentina,Maize,2002,60791,17.58,64134.56,591,0,0.12952802164877886
Argentina,Maize,2002,60791,18.07,64134.56,591,0,0.12952802164877886
Argentina,Maize,2004,63931,17.67,65003.34,591,0,0.13622395994378825
Argentina,Maize,2004,63931,18.11,65003.34,591,0,0.13622395994378825
Argentina,Maize,2005,73587,17.32,65437.73,591,0,0.1568150364331547
Argentina,Maize,2005,73587,17.83,65437.73,591,0,0.1568150364331547
Argentina,Maize,2006,59030,18.1,65872.12,591,0,0.12577275179606817
Argentina,Maize,2006,59030,18.35,65872.12,591,0,0.12577275179606817
Argentina,Maize,2007,76655,16.71,81582.64,591,0,0.1633574372895524
Argentina,Maize,2007,76655,17.14,81582.64,591,0,0.1633574372895524
Argentina,Maize,2008,64525,17.71,87149.01,591,0,0.1374906438123346
Argentina,Maize,2008,64525,18.39,87149.01,591,0,0.1374906438123346
Argentina,Maize,2009,55760,18.16,61586.56,591,0,0.11879959312578768
Argentina,Maize,2009,55760,18.09,61586.56,591,0,0.11879959312578768
Argentina,Maize,2010,78040,17.33,105915.04,591,0,0.1663109005184021
Argentina,Maize,2010,78040,17.84,105915.04,591,0,0.1663109005184021
Argentina,Maize,2011,63503,17.58,100424.62,591,0,0.1353112651698188
Argentina,Maize,2011,63503,17.93,100424.62,591,0,0.1353112651698188
Argentina,Maize,2012,57346,18.18,136185.08,591,0,0.12218168170409498
Argentina,Maize,2012,57346,18.43,136185.08,591,0,0.12218168170409498
